Type,Entries #,True Correct,True False,Detected False,Computational Steps,
priority,28,28,0,0,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,71,70,1,1,
priority,29,29,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,63,62,1,1,
priority,37,37,0,0,
non_priority,68,68,0,0,
priority,32,32,0,0,
non_priority,73,72,1,1,
priority,27,27,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,65,65,0,0,
priority,35,34,1,1,
non_priority,70,68,2,2,
priority,30,30,0,0,
non_priority,76,75,1,1,
priority,24,21,3,3,
non_priority,68,68,0,0,
priority,32,31,1,1,
non_priority,73,73,0,0,
priority,27,27,0,0,
non_priority,62,61,1,1,
priority,38,38,0,0,
non_priority,67,67,0,0,
priority,33,32,1,1,
non_priority,78,77,1,1,
priority,22,21,1,1,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,69,68,1,1,
priority,31,29,2,2,
non_priority,71,69,2,2,
priority,29,29,0,0,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,62,60,2,2,
priority,38,38,0,0,
non_priority,72,71,1,1,
priority,28,28,0,0,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,71,68,3,3,
priority,29,28,1,1,
non_priority,73,73,0,0,
priority,27,27,0,0,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,72,71,1,1,
priority,28,28,0,0,
non_priority,66,65,1,1,
priority,34,34,0,0,
non_priority,65,64,1,1,
priority,35,34,1,1,
non_priority,66,65,1,1,
priority,34,34,0,0,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,73,73,0,0,
priority,27,26,1,1,
non_priority,66,66,0,0,
priority,34,34,0,0,
non_priority,72,72,0,0,
priority,28,28,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,68,67,1,1,
priority,32,32,0,0,
non_priority,68,67,1,1,
priority,32,31,1,1,
non_priority,77,76,1,1,
priority,23,23,0,0,
non_priority,71,70,1,1,
priority,29,29,0,0,
non_priority,66,66,0,0,
priority,34,34,0,0,
non_priority,74,73,1,1,
priority,26,25,1,1,
non_priority,75,74,1,1,
priority,25,24,1,1,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,74,73,1,1,
priority,26,25,1,1,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,75,74,1,1,
priority,25,25,0,0,
non_priority,73,71,2,2,
priority,27,26,1,1,
non_priority,63,63,0,0,
priority,37,36,1,1,
non_priority,77,77,0,0,
priority,23,23,0,0,
non_priority,73,72,1,1,
priority,27,27,0,0,
non_priority,69,67,2,2,
priority,31,30,1,1,
non_priority,74,73,1,1,
priority,26,23,3,3,
